OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NUMBER,TALUK,DISTRICT,STATE/UNION TERRITORY,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
Bakultala S.O,Sub Post Office,744208,,RANGAT,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Betapur S.O,Sub Post Office,744201,03192-270064,RANGAT,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Kadamtala S.O,Sub Post Office,744209,03192-267015,RANGAT,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Kaushalyanagar B.O,Branch Post Office,744205,,RANGAT,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Long Island S.O,Sub Post Office,744203,03192-278582,RANGAT,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Nimbutala B.O,Branch Post Office,744205,,RANGAT,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Panchawati B.O,Branch Post Office,744205,,RANGAT,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Parnasala B.O,Branch Post Office,744205,,RANGAT,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Pitchernalla B.O,Branch Post Office,744201,,RANGAT,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Rangat S.O,Sub Post Office,744205,03192-274229,RANGAT,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Sabari B.O,Branch Post Office,744205,,RANGAT,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Swdeshnagar B.O,Branch Post Office,744201,,RANGAT,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Uttara B.O,Branch Post Office,744209,,RANGAT,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Bambooflat S.O,Sub Post Office,744107,03192-258002,FERRARGUNJ,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Beachdera S.O,Sub Post Office,744108,,FERRARGUNJ,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Dundas Point B.O,Branch Post Office,744206,,FERRARGUNJ,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Herbertabad S.O,Sub Post Office,744109,,FERRARGUNJ,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Humferygunj S.O,Sub Post Office,744110,,FERRARGUNJ,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Jirkatong B.O,Branch Post Office,744206,,FERRARGUNJ,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Kalatong B.O,Branch Post Office,744206,,FERRARGUNJ,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Mathura B.O,Branch Post Office,744206,,FERRARGUNJ,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Miletilak B.O,Branch Post Office,744206,,FERRARGUNJ,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Ograbanj B.O,Branch Post Office,744103,,FERRARGUNJ,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Rubber Research Station S.O,Sub Post Office,744111,,FERRARGUNJ,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Shoalbay B.O,Branch Post Office,744206,,FERRARGUNJ,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Stewertgunj B.O,Branch Post Office,744107,,FERRARGUNJ,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Wimberlygunj S.O,Sub Post Office,744206,03192-255225,FERRARGUNJ,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Hut  Bay S.O,Sub Post Office,744207,03192-284328,HUT BAY,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Netajinagar B.O,Branch Post Office,744207,,HUT BAY,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Ramakrishnapur B.O,Branch Post Office,744207,,HUT BAY,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Vivekandapur B.O,Branch Post Office,744207,,HUT BAY,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Aberdeen  Bazar S.O,Sub Post Office,744104,03192-232438,PORT  BLAIR,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Beodnabad B.O,Branch Post Office,744105,,PORT BLAIR,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Bimbiton B.O,Branch Post Office,744105,,PORT BLAIR,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Brijgunj B.O,Branch Post Office,744103,,PORT BLAIR,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Calicut B.O,Branch Post Office,744105,,PORT BLAIR,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Chouldari B.O,Branch Post Office,744103,,PORT BLAIR,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Shadipur S.O,Sub Post Office,744106,03192-229471,PORT BLAIR,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Sippighat B.O,Branch Post Office,744105,,PORT BLAIR,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Sitapur B.O,Branch Post Office,744104,,PORT BLAIR,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Strait  Island B.O,Branch Post Office,744211,,PORT BLAIR,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Tushnabad B.O,Branch Post Office,744103,,PORT BLAIR,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Wandoor B.O,Branch Post Office,744103,,PORT BLAIR,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
